SUMMARY,米・イスラエル軍は制空権を掌握し、指導部暗殺や核施設破壊を完遂したが、地上軍の不在により政権交代という戦略目標には至っていない。対するイランは、ホルムズ海峡封鎖やカタールのガス施設への致命的打撃（修復に3〜5年）を通じ、世界エネルギー供給の2割を人質に取る経済的消耗戦を展開している。3月24日にはクウェートの送電線がドローン攻撃を受け、翌25日にはパキスタン仲介の和平案をイランが拒否した。トランプ政権が設定した3月27日の期限を前に、戦局は物理的破壊から相手国の社会維持機能を標的とする非対称戦の段階へ移行しており、出口戦略なき泥沼化の様相を呈している。,,,,
MAPS,ON,ON,ON,OFF,OFF
LOG,2026/2/28,us_israel,米国とイスラエルによる「エピック・フューリー作戦」が開始された。空爆により、アリー・ハメネイ最高指導者、アジズ・ナシル・ザデ国防相、モハマド・パクプールIRGC地上部隊司令官、アリ・シャムハニ国防会議書記などが殺害された。ミナーブのシャジャレ・タイエベ女子小学校にミサイルが着弾し、180人が死亡した。,1,
LOG,2026/2/28,iran,バーレーンの米海軍第5艦隊サービスセンターにミサイルが着弾した。テルアビブの住宅街への着弾により女性1人が死亡、27人が負傷した。ドバイのフェアモント・ザ・パーム・ホテルが着弾により炎上した。アブダビのエティハド・タワーズ近郊でドローンが迎撃され、破片がタワーを損傷させた。UAE内のAmazon Web Servicesデータセンターが攻撃を受け、火花と火災が発生した。オマーン沖でタンカーMKD VYOMが攻撃を受け、乗組員1名が死亡した。クウェートでイランの攻撃により1人が死亡、32人が負傷した。キプロスのアクロティリにある英空軍基地がドローン攻撃を受けた。,0,
LOG,2026/2/28,intl,E3（英、仏、独）は無人機やミサイルに対する「相応の軍事的防衛措置」を支持することを決議し、英国は防衛目的での米軍の英軍基地使用を承認した。アリ・ラリジャニが一時的な指導部評議会の発足を発表した。イスラエルはイランのインフラや祈祷アプリ（BadeSaba）などにサイバー攻撃を実施し、離反を促すメッセージを送信した。,0,
LOG,2026/3/1,intl,英防衛省は英空軍のタイフーンがカタール領空に向かっていたイランのドローンを撃墜したと確認した。,0,
LOG,2026/03/02,us_israel,イランのナタンズ核施設が被害を受けたことが確認された。イスラエル軍はイランの国内治安維持機関であるタララ本部を平らにしたと発表した。情報省のモハマド・バセリとFARAJA警察情報局長のゴラムレザ・レザイアンが殺害された。,1,
LOG,2026/03/02,iran,イランのドローンがカタールのLNG施設を攻撃し、生産を停止させた。米国船籍のタンカー「ステナ・インペラティヴ」がバーレーン沖で飛翔体を受けた。サルマン工業地帯で迎撃されたミサイルの破片により労働者1名が死亡した。,0,
LOG,2026/03/03,us_israel,米軍はミサイル・コルベット艦「シャヒード・ソレイマニ」および潜水艦「ファテ」を撃沈した。テヘランのIRIB（イラン・イスラム共和国放送）本部、公益判別会議ビル、専門家会議の議事堂が爆撃された。イスラエル軍は最高国家安全保障会議（SNSC）本部を破壊し、ゴドス部隊のレバノン支部司令官をテヘランで殺害した。ゴレスタン宮殿（ユネスコ世界遺産）が空爆の破片により被害を受けた。,0,
LOG,2026/03/03,iran,リヤドの米大使館が2機のイラン製ドローンに攻撃され、火災が発生した。リヤドのCIA本部がドローンで攻撃されたと報じられた。,0,
LOG,2026/03/04,us_israel,イスラエル軍のF-35Iがテヘラン上空でロシア製のイラン軍Yak-130戦闘機を撃墜した。米国の潜水艦がスリランカ沖でイランのフリゲート艦「デナ」を撃沈し、乗組員87人が死亡した。バンダルアッバース港でソレイマニ級コルベット艦が撃沈された。,0,
LOG,2026/03/04,iran,IRGC海軍はホルムズ海峡を通行しようとした10隻の商業船を爆破したと発表した。IRGC航空宇宙軍がUAEのフジャイラ港を攻撃した。クウェートで破片により11歳の少女が死亡した。サウジアラビアの国営アラムコ・ラスタヌラ製油施設が飛翔体を受けた。,1,
LOG,2026/03/04,intl,ギリシャのF-16戦闘機がキプロス近郊でイランのシャヘド・ドローンを複数撃墜し、ラルナカ国際空港が一時閉鎖された。,0,
LOG,2026/03/05,us_israel,テヘランのアザディ・スタジアムにある1万2000人収容の屋内競技場が、米国・イスラエルの攻撃で完全に破壊された。,0,
LOG,2026/03/05,iran,イランのドローンがアゼルバイジャンの領空に侵入し、ナヒチェヴァン国際空港のターミナルと学校の近くに着弾した。,0,
LOG,2026/03/05,intl,アゼルバイジャンはイラン大使を召喚し、外交官をイランから撤収させ、軍事的対応を約束した。イタリア、オランダ、スペインはキプロスを防衛するために軍艦を派遣することを確認した。,0,
LOG,2026/03/06,iran,イランが湾岸諸国（サウジアラビア、クウェート、カタール、バーレーン、UAE）への攻撃というより広範な作戦を開始した。イラクのバスラにある外国石油会社の労働者施設（ハリバートンやKBRの施設を含む）がドローン攻撃を受け火災が発生した。,0,
LOG,2026/03/06,intl,イランのペゼシュキアン大統領は、近隣諸国へのイランの攻撃について国営テレビで謝罪した。スリランカ海軍はイランのタンカー「IRISブシェール」とその乗組員208名を収容すると発表した。,0,
LOG,2026/03/07,us_israel,イスラエル軍はメヘラバード国際空港への空爆で、IRGCのゴドス部隊が使用する16機の航空機を破壊したと発表した。,0,
LOG,2026/03/07,iran,IRGCがマルタ船籍の石油タンカー「プリマ」をドローンで攻撃したと発表した。,0,
LOG,2026/03/08,us_israel,夜間のイスラエルによる空爆が初めてイランの石油施設を直撃し、4人が死亡、大量の黒煙が放出された。米国とイスラエルの空爆がIRGCの航空宇宙本部と50の弾薬保管シェルターを直撃した。,1,
LOG,2026/03/08,iran,イランのドローン攻撃により、クウェート市のタワーで火災が発生した。クウェートの将校2人が死亡した。,0,
LOG,2026/03/08,intl,モジタバ・ハメネイがイランの新たな最高指導者に選出された。,1,
LOG,2026/03/09,us_israel,イスファハンのチェヘル・ソトゥーン宮殿博物館およびアリ・カプ宮殿博物館が空爆により被害を受けた。,0,
LOG,2026/03/09,iran,マナマ近郊での爆発により石油製油所近くで火災が発生し、バーレーン市民少なくとも32人が負傷した。イランのクラスター爆弾による攻撃で、イェフドの建設現場で労働者2人が死亡した。,0,
LOG,2026/03/10,us_israel,テヘランのレサレート高速道路の交差点への攻撃により、多数の民間人の死傷者が出た。イスラエルはテヘランの兵器研究施設を攻撃したと発表した。米国はイランの複数の機雷敷設艦を攻撃したと発表した。,0,
LOG,2026/03/10,iran,アブダビ国営石油会社が、ドローン攻撃による火災のためルワイス製油所を停止した。,0,
LOG,2026/03/11,us_israel,イスラエルのドローン攻撃がテヘランの検問所を直撃し、複数のバシージ・メンバーを含む少なくとも10人が死亡した。,0,
LOG,2026/03/11,iran,オマーンのサラーラ港の燃料タンクにドローンが着弾した。ばら積み貨物船マユリー・ナリー号がホルムズ海峡通過直後に2発のミサイルを受けた。,0,
LOG,2026/03/11,intl,国連安全保障理事会は、イランに対して湾岸諸国への攻撃を停止するよう求める決議2817を可決した。,0,
LOG,2026/03/12,us_israel,イラクのアル・カイムにあるPMF第18旅団本部への夜間空爆で15人が死亡し、キルクーク近郊のPMF基地への空爆で5人が死亡した。イスファハンのラシュク・エ・ジェナン歴史宮殿が米国・イスラエルの直接攻撃により破壊された。,0,
LOG,2026/03/12,iran,イランはテルアビブに多弾頭の弾道ミサイル10発を発射し、イスラエルは124人が負傷したと報告した。イラク水域で2隻の燃料タンカー（マルタ船籍とマーシャル諸島船籍）が攻撃され火災が発生した。,0,
LOG,2026/03/12,intl,イランの新最高指導者モジタバ・ハメネイの最初の声明が国営メディアで読み上げられ、ホルムズ海峡の封鎖継続を誓った。,1,
LOG,2026/03/13,us_israel,米国はイランの主要な石油輸出拠点であるカーグ島を爆撃し、トランプ大統領は同島のすべての軍事施設が破壊されたと述べた。,1,
LOG,2026/03/13,iran,イスラエルのザルジルへのイランのミサイル攻撃により約300軒の家屋が被害を受け、約60人が負傷した。オマーンのソハールでのドローン攻撃により2人が死亡、11人が負傷した。,0,
LOG,2026/03/13,intl,米国の「正義への報酬」プログラムは、モジタバ・ハメネイを含むイランのトップ指導者10名に対し、最大1000万ドルの懸賞金をかけた。,0,
LOG,2026/03/14,us_israel,バンダルアッバースの海軍施設、シラーズ国際空港、テヘランの航空宇宙研究センター、ゴムのジャムカラン大モスクなどが標的となった。イスラエル軍はハタム・アル・アンビヤ中央本部情報部隊の幹部2名を殺害したと発表した。,0,
LOG,2026/03/14,iran,フジャイラの石油ターミナルへのドローン攻撃により火災が発生した。バグダッドの米大使館のヘリポートが航空攻撃を受けた。アフマド・アル＝ジャービル空軍基地へのドローン攻撃でクウェート兵3人が軽傷を負った。,0,
LOG,2026/03/15,us_israel,イスファハンに対する米国とイスラエルの合同攻撃により、15人が死亡した。,0,
LOG,2026/03/16,us_israel,イスラエル軍はメヘラバード国際空港で、アリー・ハメネイ前最高指導者を含むイラン高官が使用していた航空機を破壊したと発表した。テヘランにある攻撃用衛星の開発に使用されていた宇宙研究施設を破壊した。,0,
LOG,2026/03/16,iran,ドバイ国際空港でドローン攻撃により燃料タンクが炎上した。,0,
LOG,2026/03/16,intl,欧州の米国寄りのNATO加盟国は、ホルムズ海峡の再開に向けた軍事支援を求めるトランプ大統領の要請を拒否した。,1,
LOG,2026/03/17,us_israel,アリ・ラリジャニ（最高国家安全保障会議書記）、バシージのゴラムレザ・ソレイマニ司令官、および300人のバシージ幹部が夜間のイスラエルによる空爆で殺害された。ブシェール原子力発電所の周辺地域も空爆を受けたが、被害はなかった。,1,
LOG,2026/03/17,iran,イランのミサイル攻撃により、ラマト・ガンで防空壕に向かっていた高齢の夫婦が死亡した。,0,
LOG,2026/03/17,intl,トランプ大統領はNATOの支援を拒否する声明を出し、イランへの攻撃への参加を拒んだ日本、韓国、オーストラリアも予期せず非難した。,0,
LOG,2026/03/18,us_israel,イスラエルの夜間空爆により、イランのエスマイル・ハティブ情報相がテヘランで暗殺された。米国の調整のもと、イスラエルがイランのサウス・パルス天然ガス田およびアサルーイェの近隣製油所を空爆した。イスラエルの空爆がカスピ海にある少なくとも5隻のイラン海軍艦艇を標的とした。ラレスタンの裁判所が空爆を受けた。,1,
LOG,2026/03/18,iran,イランのミサイルがカタールのラス・ラファン工業都市を直撃し、ガス施設に火災と甚大な被害をもたらした。イランのミサイル攻撃により、ヨルダン川西岸のベイト・アワでパレスチナ人3人が死亡し13人が負傷した。,1,
LOG,2026/03/18,intl,国際海事機関（IMO）は、海峡の西側に取り残されている約2万人の船員の人道的通行に関して臨時会合を開いた。,0,
LOG,2026/03/19,us_israel,イスラエル軍はサナンダジュ空港でIRGCのMil Mi-17ヘリコプターを破壊した。軍のバシージ代表であるアフシン・ナグシュバンディが空爆で殺害された。タブリーズのバシージの検問所への空爆で戦闘員13人が死亡し、18人が負傷した。,0,
LOG,2026/03/19,iran,ハイファのBAZANグループの製油所がイランのミサイル攻撃を受けた。クウェートのミナ・アル・アフマディ製油所がイランのドローン攻撃を受け火災が発生した。イラン上空での戦闘任務中に米軍のF-35がイランの攻撃で被弾したとされ、緊急着陸した。,0,
LOG,2026/03/19,intl,イランのイスマイル・バガイ報道官は、米国とイスラエルが「テロ行為」を行ったと非難し、湾岸地域にあるオーストラリアの軍事資産はイランの自衛のための正当な標的であると警告した。,0,
LOG,2026/03/20,us_israel,イスラム革命防衛隊（IRGC）の報道官アリ・モハマド・ナイニとその副官がイスラエルの空爆で暗殺された。また、バシージの情報局長イスマイル・アフマディも殺害された。,0,
LOG,2026/03/20,iran,イランは米英軍基地があるディエゴガルシア島に向けて2発の弾道ミサイルを発射したとされるが、いずれも島への着弾に失敗した（イラン側は関与を否定）。イランはエルサレムに向けて9発の弾道ミサイル（少なくとも3発はクラスター弾頭を搭載）を発射した。,1,
LOG,2026/03/20,intl,スイスは中立性を理由に、自国企業による米国への兵器輸出ライセンスを発行しないと発表した。カタールはイランの軍事および治安駐在官をペルソナ・ノン・グラータに指定し、24時間以内の国外退去を命じた。,0,
LOG,2026/03/21,us_israel,米軍はバンカーバスター爆弾を使用してイランのナタンズ核施設を空爆した。イスラエル軍はテヘランのマレク・アシュタル工科大学にあるとされる核兵器開発・研究施設を空爆したと発表した。ナジャファーバードのバシージ施設が空爆で「平らに」された。,1,
LOG,2026/03/21,iran,3回のドローン攻撃がバグダッド国際空港の米軍の外交・物流拠点を標的とした。イランのミサイル攻撃によりディモナの建物が倒壊し、64人が負傷した（イランはシモン・ペレス・ネゲブ原子力研究センターを標的としたと発表）。アラドでの攻撃で116人が負傷した。,1,
